Subject	Predicate	Object	Label	Calibrated Probability
glmS	confers resistance to antibiotic	Novobiocin	1	2.30E-05
glyS	confers resistance to antibiotic	Novobiocin	1	2.30E-05
ybeH	confers resistance to antibiotic	Novobiocin	1	0
topAI	confers resistance to antibiotic	Novobiocin	1	2.30E-05
ubiG	confers resistance to antibiotic	Novobiocin	1	0.00320919
ykgP	confers resistance to antibiotic	Novobiocin	1	0
ygdT	confers resistance to antibiotic	Novobiocin	1	0
ftp	confers resistance to antibiotic	Novobiocin	1	0
folC	confers resistance to antibiotic	Novobiocin	1	0
ldtC	confers resistance to antibiotic	Novobiocin	1	2.30E-05
mdtC	confers resistance to antibiotic	Novobiocin	1	2.30E-05
qorB	confers resistance to antibiotic	Novobiocin	1	0
holA	confers resistance to antibiotic	Novobiocin	1	2.30E-05
accB	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
erpA	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
yffM	confers resistance to antibiotic	Amoxicillin	1	0
ydhQ	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
atpH	confers resistance to antibiotic	Amoxicillin	1	0.00136569
lgt	confers resistance to antibiotic	Amoxicillin	1	0
ypdJ	confers resistance to antibiotic	Amoxicillin	1	0
ypjK	confers resistance to antibiotic	Amoxicillin	1	0
ykfK	confers resistance to antibiotic	Amoxicillin	1	0
polA	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
pyrH	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
arcC	confers resistance to antibiotic	Amoxicillin	1	0
fsaB	confers resistance to antibiotic	Amoxicillin	1	0
tufA	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
ribA	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
map	confers resistance to antibiotic	Amoxicillin	1	0
mukF	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
tsaE	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
yafF	confers resistance to antibiotic	Amoxicillin	1	0
trpL	confers resistance to antibiotic	Amoxicillin	1	0
holB	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
tdcF	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
lpxB	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
ybeH	confers resistance to antibiotic	Amoxicillin	1	0
nohB	confers resistance to antibiotic	Amoxicillin	1	0
rplF	confers resistance to antibiotic	Amoxicillin	1	0
rpsK	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
yojO	confers resistance to antibiotic	Amoxicillin	1	0
ralR	confers resistance to antibiotic	Amoxicillin	1	0
tnaC	confers resistance to antibiotic	Amoxicillin	1	0
insI4	confers resistance to antibiotic	Amoxicillin	1	0
rpsM	confers resistance to antibiotic	Amoxicillin	1	0
rplK	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
ykfL	confers resistance to antibiotic	Amoxicillin	1	0
ubiB	confers resistance to antibiotic	Amoxicillin	1	0
pgsA	confers resistance to antibiotic	Amoxicillin	1	0
yncL	confers resistance to antibiotic	Amoxicillin	1	0
bepA	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
dnaE	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
yagY	confers resistance to antibiotic	Amoxicillin	1	0
yaiX	confers resistance to antibiotic	Amoxicillin	1	0
priB	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
lacZ	confers resistance to antibiotic	Amoxicillin	1	0
pka	confers resistance to antibiotic	Amoxicillin	1	2.30E-05
rplP	confers resistance to antibiotic	Amoxicillin	1	0
yibW	confers resistance to antibiotic	Amoxicillin	1	0
pdeH	confers resistance to antibiotic	Amoxicillin	1	0
nohA	confers resistance to antibiotic	Amoxicillin	1	0
yeeH	confers resistance to antibiotic	Amoxicillin	1	0
ydcC	confers resistance to antibiotic	Amoxicillin	1	0
