Entity	Relation	Value	Iteration of Promotion	Probability	Source	Candidate Source
concept:gene:galF	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:rspB	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:ydeM	concept:is#SPACE#involved#SPACE#in	concept:biological_process:oxidation-reduction#SPACE#process		1.0		
concept:gene:hyfF	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cellular#SPACE#response#SPACE#to#SPACE#DNA#SPACE#damage#SPACE#stimulus		1.0		
concept:gene:hns	concept:represses	concept:gene:slp		1.0		
concept:gene:yciT	concept:is#SPACE#involved#SPACE#in	concept:biological_process:regulation#SPACE#of#SPACE#transcription#COMMA##SPACE#DNA-templated		1.0		
concept:gene:arcA	concept:represses	concept:gene:fadJ		1.0		
concept:gene:rlmN	concept:has	concept:molecular_function:iron-sulfur#SPACE#cluster#SPACE#binding		1.0		
concept:gene:degP	concept:has	concept:molecular_function:protein#SPACE#binding		1.0		
concept:gene:fnr	concept:represses	concept:gene:garP		1.0		
concept:gene:gnd	concept:has	concept:molecular_function:oxidoreductase#SPACE#activity		1.0		
concept:gene:arcA	concept:activates	concept:gene:yhiI		1.0		
concept:gene:umpG	concept:has	concept:molecular_function:5'-nucleotidase#SPACE#activity		1.0		
concept:gene:dsbB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#membrane		1.0		
concept:gene:ftsK	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:narP	concept:activates	concept:gene:cysG		1.0		
concept:gene:ydgH	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:glnB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:regulation#SPACE#of#SPACE#catalytic#SPACE#activity		1.0		
concept:gene:yhdX	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:fdnI	concept:is#SPACE#part#SPACE#of	concept:cellular_component:formate#SPACE#dehydrogenase#SPACE#complex		1.0		
concept:gene:dacB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cell#SPACE#wall#SPACE#organization		1.0		
concept:gene:ackA	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:lrp	concept:represses	concept:gene:hdeB		1.0		
concept:gene:modC	concept:activates	concept:gene:hycC		1.0		
concept:gene:oppA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:outer#SPACE#membrane-bounded#SPACE#periplasmic#SPACE#space		1.0		
concept:gene:arcA	concept:represses	concept:gene:yjcH		1.0		
concept:gene:sucB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:tauB	concept:has	concept:molecular_function:transporter#SPACE#activity		1.0		
concept:gene:cvrA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:ubiD	concept:has	concept:molecular_function:3-octaprenyl-4-hydroxybenzoate#SPACE#carboxy-lyase#SPACE#activity		1.0		
concept:gene:yiaJ	concept:represses	concept:gene:yiaK		1.0		
concept:gene:metJ	concept:represses	concept:gene:metF		1.0		
concept:gene:mfd	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:fnr	concept:represses	concept:gene:adhE		1.0		
concept:gene:ymgF	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cell#SPACE#division		1.0		
concept:gene:crp	concept:represses	concept:gene:galT		1.0		
concept:gene:lpd	concept:is#SPACE#involved#SPACE#in	concept:biological_process:response#SPACE#to#SPACE#oxidative#SPACE#stress		1.0		
concept:gene:frdB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:bacterial-type#SPACE#flagellum-dependent#SPACE#cell#SPACE#motility		1.0		
concept:gene:ldtA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:proteolysis		1.0		
concept:gene:yadI	concept:has	concept:molecular_function:transferase#SPACE#activity		1.0		
concept:gene:hdfR	concept:activates	concept:gene:gltD		1.0		
concept:gene:lpd	concept:is#SPACE#involved#SPACE#in	concept:biological_process:glycine#SPACE#decarboxylation#SPACE#via#SPACE#glycine#SPACE#cleavage#SPACE#system		1.0		
concept:gene:cpxR	concept:represses	concept:gene:tsr		1.0		
concept:gene:cueO	concept:is#SPACE#part#SPACE#of	concept:cellular_component:outer#SPACE#membrane-bounded#SPACE#periplasmic#SPACE#space		1.0		
concept:gene:ddlA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:peptidoglycan#SPACE#biosynthetic#SPACE#process		1.0		
concept:gene:pykA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytoplasm		1.0		
concept:gene:alsB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:allose#SPACE#transmembrane#SPACE#transport		1.0		
concept:gene:gadW	concept:activates	concept:gene:gadB		1.0		
concept:gene:pheT	concept:is#SPACE#involved#SPACE#in	concept:biological_process:phenylalanyl-tRNA#SPACE#aminoacylation		1.0		
concept:gene:lrp	concept:represses	concept:gene:oppA		1.0		
concept:gene:acrR	concept:represses	concept:gene:acrA		1.0		
concept:gene:arcA	concept:activates	concept:gene:ddpF		1.0		
concept:gene:idnO	concept:is#SPACE#involved#SPACE#in	concept:biological_process:L-idonate#SPACE#catabolic#SPACE#process		1.0		
concept:gene:ybdZ	concept:is#SPACE#involved#SPACE#in	concept:biological_process:siderophore#SPACE#biosynthetic#SPACE#process		1.0		
concept:gene:nac	concept:has	concept:molecular_function:DNA#SPACE#binding#SPACE#transcription#SPACE#factor#SPACE#activity		1.0		
concept:gene:sthA	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:trpGD	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:zapB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cell#SPACE#division#SPACE#site		1.0		
concept:gene:yhjG	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:dpiA	concept:activates	concept:gene:citF		1.0		
concept:gene:ftnA	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:cdd	concept:is#SPACE#involved#SPACE#in	concept:biological_process:nucleobase-containing#SPACE#small#SPACE#molecule#SPACE#interconversion		1.0		
concept:gene:rplS	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:uraA	concept:has	concept:molecular_function:uracil#SEMICOLON#cation#SPACE#symporter#SPACE#activity		1.0		
concept:gene:cysA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:transmembrane#SPACE#transport		1.0		
concept:gene:mcbR	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:pgpA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:cydX	concept:is#SPACE#part#SPACE#of	concept:cellular_component:outer#SPACE#membrane		1.0		
concept:gene:puuR	concept:represses	concept:gene:puuD		1.0		
concept:gene:lgoT	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#membrane		1.0		
concept:gene:sgcC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:crp	concept:activates	concept:gene:tdcA		1.0		
concept:gene:yiaV	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:acrR	concept:represses	concept:gene:flhD		1.0		
concept:gene:rhaS	concept:has	concept:molecular_function:glyoxalase#SPACE#III#SPACE#activity		1.0		
concept:gene:livM	concept:has	concept:molecular_function:transmembrane#SPACE#transporter#SPACE#activity		1.0		
concept:gene:fnr	concept:activates	concept:gene:mltA		1.0		
concept:gene:fnr	concept:activates	concept:gene:yhbS		1.0		
concept:gene:pldB	concept:has	concept:molecular_function:protein#SPACE#binding		1.0		
concept:gene:fnr	concept:activates	concept:gene:napF		1.0		
concept:gene:crp	concept:activates	concept:gene:tnaA		1.0		
concept:gene:iscA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:protein#SPACE#maturation#SPACE#by#SPACE#iron-sulfur#SPACE#cluster#SPACE#transfer		1.0		
concept:gene:rffC	concept:has	concept:molecular_function:transferase#SPACE#activity		1.0		
concept:gene:fnr	concept:represses	concept:gene:speA		1.0		
concept:gene:yhaO	concept:is#SPACE#involved#SPACE#in	concept:biological_process:amino#SPACE#acid#SPACE#transport		1.0		
concept:gene:yhaC	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cellular#SPACE#response#SPACE#to#SPACE#DNA#SPACE#damage#SPACE#stimulus		1.0		
concept:gene:ulaR	concept:is#SPACE#involved#SPACE#in	concept:biological_process:transcription#COMMA##SPACE#DNA-templated		1.0		
concept:gene:cydA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:crp	concept:activates	concept:gene:tam		1.0		
concept:gene:pdeL	concept:has	concept:molecular_function:cyclic-guanylate-specific#SPACE#phosphodiesterase#SPACE#activity		1.0		
concept:gene:wecA	concept:has	concept:molecular_function:phosphotransferase#SPACE#activity#COMMA##SPACE#for#SPACE#other#SPACE#substituted#SPACE#phosphate#SPACE#groups		1.0		
concept:gene:hyaB	concept:has	concept:molecular_function:electron#SPACE#transfer#SPACE#activity		1.0		
concept:gene:marA	concept:represses	concept:gene:slp		1.0		
concept:gene:dcd	concept:is#SPACE#involved#SPACE#in	concept:biological_process:response#SPACE#to#SPACE#radiation		1.0		
concept:gene:clcB	concept:has	concept:molecular_function:chloride#SPACE#channel#SPACE#activity		1.0		
concept:gene:nikB	concept:has	concept:molecular_function:nickel#SPACE#cation#SPACE#transmembrane#SPACE#transporter#SPACE#activity		1.0		
concept:gene:uspE	concept:is#SPACE#involved#SPACE#in	concept:biological_process:single-species#SPACE#biofilm#SPACE#formation		1.0		
concept:gene:eutR	concept:has	concept:molecular_function:glyoxalase#SPACE#III#SPACE#activity		1.0		
concept:gene:cybB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#membrane		1.0		
concept:gene:solA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:slmA	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:rpsT	concept:has	concept:molecular_function:small#SPACE#ribosomal#SPACE#subunit#SPACE#rRNA#SPACE#binding		1.0		
concept:gene:rph	concept:has	concept:molecular_function:3'-5'-exoribonuclease#SPACE#activity		1.0		
concept:gene:pepQ	concept:has	concept:molecular_function:dipeptidase#SPACE#activity		1.0		
concept:gene:hns	concept:represses	concept:gene:galM		1.0		
concept:gene:betA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:membrane		1.0		
concept:gene:rplY	concept:is#SPACE#involved#SPACE#in	concept:biological_process:response#SPACE#to#SPACE#radiation		1.0		
concept:gene:argT	concept:is#SPACE#involved#SPACE#in	concept:biological_process:L-lysine#SPACE#transport		1.0		
concept:gene:cra	concept:activates	concept:gene:nuoK		1.0		
concept:gene:arfB	concept:has	concept:molecular_function:translation#SPACE#release#SPACE#factor#SPACE#activity#COMMA##SPACE#codon#SPACE#nonspecific		1.0		
concept:gene:queD	concept:has	concept:molecular_function:identical#SPACE#protein#SPACE#binding		1.0		
concept:gene:fnr	concept:activates	concept:gene:ravA		1.0		
concept:gene:ibsA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:msrQ	concept:is#SPACE#involved#SPACE#in	concept:biological_process:protein#SPACE#repair		1.0		
concept:gene:ybjO	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:gltD	concept:has	concept:molecular_function:protein#SPACE#binding		1.0		
concept:gene:fabG	concept:is#SPACE#involved#SPACE#in	concept:biological_process:fatty#SPACE#acid#SPACE#biosynthetic#SPACE#process		1.0		
concept:gene:tdcB	concept:has	concept:molecular_function:L-threonine#SPACE#ammonia-lyase#SPACE#activity		1.0		
concept:gene:tdcC	concept:has	concept:molecular_function:transporter#SPACE#activity		1.0		
concept:gene:arcA	concept:activates	concept:gene:kdpC		1.0		
concept:gene:trmO	concept:has	concept:molecular_function:methyltransferase#SPACE#activity		1.0		
concept:gene:fnr	concept:activates	concept:gene:ynjD		1.0		
concept:gene:yjjW	concept:has	concept:molecular_function:protein#SPACE#binding		1.0		
concept:gene:ubiB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:dld	concept:has	concept:molecular_function:D-lactate#SPACE#dehydrogenase#SPACE#(cytochrome)#SPACE#activity		1.0		
concept:gene:pdxY	concept:has	concept:molecular_function:identical#SPACE#protein#SPACE#binding		1.0		
concept:gene:xylE	concept:has	concept:molecular_function:carbohydrate#SEMICOLON#proton#SPACE#symporter#SPACE#activity		1.0		
concept:gene:gadX	concept:represses	concept:gene:ydeN		1.0		
concept:gene:sodC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:outer#SPACE#membrane-bounded#SPACE#periplasmic#SPACE#space		1.0		
concept:gene:nsrR	concept:represses	concept:gene:hcr		1.0		
concept:gene:ahpC	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cellular#SPACE#oxidant#SPACE#detoxification		1.0		
concept:gene:rimK	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:chbC	concept:is#SPACE#involved#SPACE#in	concept:biological_process:N#COMMA#N'-diacetylchitobiose#SPACE#import		1.0		
concept:gene:phoB	concept:activates	concept:gene:adiC		1.0		
concept:gene:dcuB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:C4-dicarboxylate#SPACE#transport		1.0		
concept:gene:ybhC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cell#SPACE#outer#SPACE#membrane		1.0		
concept:gene:ampH	concept:has	concept:molecular_function:endopeptidase#SPACE#activity		1.0		
concept:gene:pgpB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:dephosphorylation		1.0		
concept:gene:soxS	concept:activates	concept:gene:pqiA		1.0		
concept:gene:yohD	concept:is#SPACE#involved#SPACE#in	concept:biological_process:FtsZ-dependent#SPACE#cytokinesis		1.0		
concept:gene:pgaC	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:ybbO	concept:has	concept:molecular_function:alcohol#SPACE#dehydrogenase#SPACE#(NADP+)#SPACE#activity		1.0		
concept:gene:fur	concept:represses	concept:gene:fhuA		1.0		
concept:gene:proP	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:pqiB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:outer#SPACE#membrane-bounded#SPACE#periplasmic#SPACE#space		1.0		
concept:gene:elfC	concept:is#SPACE#involved#SPACE#in	concept:biological_process:transmembrane#SPACE#transport		1.0		
concept:gene:hofB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:polB	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:actP	concept:has	concept:molecular_function:transporter#SPACE#activity		1.0		
concept:gene:fur	concept:activates	concept:gene:uxuA		1.0		
concept:gene:fnr	concept:represses	concept:gene:nuoN		1.0		
concept:gene:surA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:maintenance#SPACE#of#SPACE#stationary#SPACE#phase		1.0		
concept:gene:motA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:bacterial-type#SPACE#flagellum-dependent#SPACE#cell#SPACE#motility		1.0		
concept:gene:rimM	concept:has	concept:molecular_function:rRNA#SPACE#binding		1.0		
concept:gene:yajC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:rob	concept:activates	concept:gene:marA		1.0		
concept:gene:bisC	concept:has	concept:molecular_function:L-methionine#SEMICOLON#thioredoxin-disulfide#SPACE#S-oxidoreductase#SPACE#activity		1.0		
concept:gene:entE	concept:has	concept:molecular_function:2#COMMA#3-dihydroxybenzoate-serine#SPACE#ligase#SPACE#activity		1.0		
concept:gene:cadC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:garK	concept:has	concept:molecular_function:glycerate#SPACE#2-kinase#SPACE#activity		1.0		
concept:gene:ybgC	concept:has	concept:molecular_function:thiolester#SPACE#hydrolase#SPACE#activity		1.0		
concept:gene:prpE	concept:has	concept:molecular_function:propionate-CoA#SPACE#ligase#SPACE#activity		1.0		
concept:gene:tatD	concept:has	concept:molecular_function:metal#SPACE#ion#SPACE#binding		1.0		
concept:gene:hyfA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:uracil#SPACE#catabolic#SPACE#process		1.0		
concept:gene:rsmJ	concept:has	concept:molecular_function:16S#SPACE#rRNA#SPACE#(guanine(1516)-N(2))-methyltransferase#SPACE#activity		1.0		
concept:gene:tyrB	concept:has	concept:molecular_function:L-leucine#SEMICOLON#2-oxoglutarate#SPACE#aminotransferase#SPACE#activity		1.0		
concept:gene:fadA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:phenylacetate#SPACE#catabolic#SPACE#process		1.0		
concept:gene:evgA	concept:has	concept:molecular_function:DNA#SPACE#binding#SPACE#transcription#SPACE#factor#SPACE#activity		1.0		
concept:gene:hypT	concept:has	concept:molecular_function:transcription#SPACE#regulatory#SPACE#region#SPACE#sequence-specific#SPACE#DNA#SPACE#binding		1.0		
concept:gene:zur	concept:has	concept:molecular_function:transcription#SPACE#regulatory#SPACE#region#SPACE#DNA#SPACE#binding		1.0		
concept:gene:gabD	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytoplasm		1.0		
concept:gene:yedA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:ypdA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:pgaD	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:ubiE	concept:is#SPACE#involved#SPACE#in	concept:biological_process:menaquinone#SPACE#biosynthetic#SPACE#process		1.0		
concept:gene:crcB	concept:has	concept:molecular_function:inorganic#SPACE#anion#SPACE#transmembrane#SPACE#transporter#SPACE#activity		1.0		
concept:gene:gadA	concept:has	concept:molecular_function:glutamate#SPACE#decarboxylase#SPACE#activity		1.0		
concept:gene:recN	concept:is#SPACE#involved#SPACE#in	concept:biological_process:double-strand#SPACE#break#SPACE#repair#SPACE#via#SPACE#homologous#SPACE#recombination		1.0		
concept:gene:ydcO	concept:has	concept:molecular_function:transmembrane#SPACE#transporter#SPACE#activity		1.0		
concept:gene:ldtD	concept:is#SPACE#involved#SPACE#in	concept:biological_process:Gram-negative-bacterium-type#SPACE#cell#SPACE#wall#SPACE#biogenesis		1.0		
concept:gene:dcyD	concept:has	concept:molecular_function:pyridoxal#SPACE#phosphate#SPACE#binding		1.0		
concept:gene:nsrR	concept:represses	concept:gene:nrfC		1.0		
concept:gene:fnr	concept:represses	concept:gene:yjjY		1.0		
concept:gene:satP	concept:is#SPACE#involved#SPACE#in	concept:biological_process:succinate#SPACE#transmembrane#SPACE#transport		1.0		
concept:gene:dnaK	concept:has	concept:molecular_function:misfolded#SPACE#protein#SPACE#binding		1.0		
concept:gene:livG	concept:has	concept:molecular_function:L-phenylalanine#SPACE#transmembrane#SPACE#transporter#SPACE#activity		1.0		
concept:gene:argR	concept:activates	concept:gene:eutP		1.0		
concept:gene:aqpZ	concept:has	concept:molecular_function:identical#SPACE#protein#SPACE#binding		1.0		
concept:gene:crp	concept:activates	concept:gene:yiaK		1.0		
concept:gene:rcdA	concept:has	concept:molecular_function:DNA#SPACE#binding#SPACE#transcription#SPACE#factor#SPACE#activity		1.0		
concept:gene:mreD	concept:has	concept:molecular_function:protein#SPACE#binding		1.0		
concept:gene:fimZ	concept:is#SPACE#involved#SPACE#in	concept:biological_process:response#SPACE#to#SPACE#drug		1.0		
concept:gene:sbmA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:membrane		1.0		
concept:gene:soxS	concept:activates	concept:gene:zwf		1.0		
concept:gene:katE	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:rcdA	concept:represses	concept:gene:sulA		1.0		
concept:gene:acpT	concept:is#SPACE#involved#SPACE#in	concept:biological_process:fatty#SPACE#acid#SPACE#biosynthetic#SPACE#process		1.0		
concept:gene:kefB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:transmembrane#SPACE#transport		1.0		
concept:gene:rplE	concept:has	concept:molecular_function:structural#SPACE#constituent#SPACE#of#SPACE#ribosome		1.0		
concept:gene:glgP	concept:is#SPACE#involved#SPACE#in	concept:biological_process:carbohydrate#SPACE#catabolic#SPACE#process		1.0		
concept:gene:fis	concept:is#SPACE#involved#SPACE#in	concept:biological_process:regulation#SPACE#of#SPACE#transcription#COMMA##SPACE#DNA-templated		1.0		
concept:gene:bolA	concept:activates	concept:gene:ampC		1.0		
concept:gene:rstA	concept:activates	concept:gene:narG		1.0		
concept:gene:pbpC	concept:is#SPACE#involved#SPACE#in	concept:biological_process:proteolysis		1.0		
concept:gene:metH	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:kduI	concept:has	concept:molecular_function:protein#SPACE#binding		1.0		
concept:gene:potD	concept:has	concept:molecular_function:spermidine#SPACE#binding		1.0		
concept:gene:pbpG	concept:is#SPACE#involved#SPACE#in	concept:biological_process:response#SPACE#to#SPACE#drug		1.0		
concept:gene:folX	concept:has	concept:molecular_function:dihydroneopterin#SPACE#triphosphate#SPACE#2'-epimerase#SPACE#activity		1.0		
concept:gene:deoC	concept:is#SPACE#involved#SPACE#in	concept:biological_process:nucleobase-containing#SPACE#small#SPACE#molecule#SPACE#interconversion		1.0		
concept:gene:acs	concept:has	concept:molecular_function:propionate-CoA#SPACE#ligase#SPACE#activity		1.0		
concept:gene:higB	concept:has	concept:molecular_function:nuclease#SPACE#activity		1.0		
concept:gene:cmk	concept:is#SPACE#involved#SPACE#in	concept:biological_process:pantothenate#SPACE#biosynthetic#SPACE#process#SPACE#from#SPACE#valine		1.0		
concept:gene:arcA	concept:represses	concept:gene:lacI		1.0		
concept:gene:cytR	concept:represses	concept:gene:udp		1.0		
concept:gene:mhpR	concept:activates	concept:gene:mhpF		1.0		
concept:gene:ptsG	concept:has	concept:molecular_function:transferase#SPACE#activity		1.0		
concept:gene:uacT	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:phnA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:ssuA	concept:has	concept:molecular_function:alkanesulfonate#SPACE#transmembrane#SPACE#transporter#SPACE#activity		1.0		
concept:gene:mntP	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#membrane		1.0		
concept:gene:matP	concept:has	concept:molecular_function:sequence-specific#SPACE#DNA#SPACE#binding		1.0		
concept:gene:ybbW	concept:is#SPACE#involved#SPACE#in	concept:biological_process:transmembrane#SPACE#transport		1.0		
concept:gene:nrdD	concept:has	concept:molecular_function:zinc#SPACE#ion#SPACE#binding		1.0		
concept:gene:hupB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:transcription#COMMA##SPACE#DNA-templated		1.0		
concept:gene:mreB	concept:has	concept:molecular_function:protein#SPACE#binding		1.0		
concept:gene:eamA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#membrane		1.0		
concept:gene:gadX	concept:represses	concept:gene:hdeB		1.0		
concept:gene:ybhG	concept:is#SPACE#involved#SPACE#in	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:allC	concept:has	concept:molecular_function:allantoate#SPACE#deiminase#SPACE#activity		1.0		
concept:gene:narL	concept:activates	concept:gene:moeA		1.0		
concept:gene:ynaI	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cellular#SPACE#response#SPACE#to#SPACE#osmotic#SPACE#stress		1.0		
concept:gene:gadW	concept:represses	concept:gene:dctR		1.0		
concept:gene:livM	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:codA	concept:has	concept:molecular_function:5-fluorocytosine#SPACE#deaminase#SPACE#activity		1.0		
concept:gene:pabA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:anthranilate#SPACE#synthase#SPACE#complex		1.0		
concept:gene:lrp	concept:represses	concept:gene:csiE		1.0		
concept:gene:nimT	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:ybjG	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:otsB	concept:has	concept:molecular_function:magnesium#SPACE#ion#SPACE#binding		1.0		
concept:gene:rplQ	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:iclR	concept:has	concept:molecular_function:DNA#SPACE#binding		1.0		
concept:gene:potC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:tolC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cell#SPACE#outer#SPACE#membrane		1.0		
concept:gene:hprR	concept:is#SPACE#involved#SPACE#in	concept:biological_process:transcription#COMMA##SPACE#DNA-templated		1.0		
concept:gene:ftsH	concept:has	concept:molecular_function:manganese#SPACE#ion#SPACE#binding		1.0		
concept:gene:fecD	concept:is#SPACE#part#SPACE#of	concept:cellular_component:ATP-binding#SPACE#cassette#SPACE#(ABC)#SPACE#transporter#SPACE#complex#COMMA##SPACE#substrate-binding#SPACE#subunit-containing		1.0		
concept:gene:crp	concept:represses	concept:gene:ucpA		1.0		
concept:gene:arcA	concept:represses	concept:gene:fadD		1.0		
concept:gene:ybhJ	concept:is#SPACE#involved#SPACE#in	concept:biological_process:metabolic#SPACE#process		1.0		
concept:gene:gloC	concept:is#SPACE#involved#SPACE#in	concept:biological_process:methylglyoxal#SPACE#catabolic#SPACE#process#SPACE#to#SPACE#D-lactate#SPACE#via#SPACE#S-lactoyl-glutathione		1.0		
concept:gene:treF	concept:is#SPACE#involved#SPACE#in	concept:biological_process:trehalose#SPACE#catabolic#SPACE#process		1.0		
concept:gene:oppA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:ATP-binding#SPACE#cassette#SPACE#(ABC)#SPACE#transporter#SPACE#complex		1.0		
concept:gene:hisS	concept:is#SPACE#involved#SPACE#in	concept:biological_process:histidyl-tRNA#SPACE#aminoacylation		1.0		
concept:gene:ycgR	concept:is#SPACE#involved#SPACE#in	concept:biological_process:regulation#SPACE#of#SPACE#bacterial-type#SPACE#flagellum-dependent#SPACE#cell#SPACE#motility#SPACE#by#SPACE#regulation#SPACE#of#SPACE#motor#SPACE#speed		1.0		
concept:gene:fur	concept:represses	concept:gene:gspO		1.0		
