Entity	Relation	Value	Iteration of Promotion	Probability	Source	Candidate Source
concept:yghW	generalizations	concept:gene		1.0		
concept:pgk	generalizations	concept:gene		1.0		
concept:leucine#SPACE#import#SPACE#across#SPACE#plasma#SPACE#membrane	generalizations	concept:biological_process		1.0		
concept:shikimate#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:proB	generalizations	concept:gene		1.0		
concept:dgcZ	generalizations	concept:gene		1.0		
concept:yhdW	generalizations	concept:gene		1.0		
concept:lipid#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:protein#SPACE#flavinylation	generalizations	concept:biological_process		1.0		
concept:yqhG	generalizations	concept:gene		1.0		
concept:paoB	generalizations	concept:gene		1.0		
concept:fecA	generalizations	concept:gene		1.0		
concept:dihydromonapterin#SPACE#reductase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:trpL	generalizations	concept:gene		1.0		
concept:hprR	generalizations	concept:gene		1.0		
concept:yjeS	generalizations	concept:gene		1.0		
concept:nucleoside-triphosphate#SPACE#diphosphatase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:thiF	generalizations	concept:gene		1.0		
concept:tpx	generalizations	concept:gene		1.0		
concept:chpB	generalizations	concept:gene		1.0		
concept:yeaL	generalizations	concept:gene		1.0		
concept:xanthine#SPACE#phosphoribosyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:argI	generalizations	concept:gene		1.0		
concept:umpH	generalizations	concept:gene		1.0		
concept:mdfA	generalizations	concept:gene		1.0		
concept:glycerol-3-phosphate-transporting#SPACE#ATPase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yciZ	generalizations	concept:gene		1.0		
concept:gcl	generalizations	concept:gene		1.0		
concept:hldE	generalizations	concept:gene		1.0		
concept:malate#SPACE#synthase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yhiD	generalizations	concept:gene		1.0		
concept:pyrimidine#SPACE#nucleobase#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:yobH	generalizations	concept:gene		1.0		
concept:Ala-tRNA(Pro)#SPACE#hydrolase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:Doxycycline#SPACE#hyclate	generalizations	concept:antibiotic		1.0		
concept:yagQ	generalizations	concept:gene		1.0		
concept:ymfN	generalizations	concept:gene		1.0		
concept:'de#SPACE#novo'#SPACE#pyridoxal#SPACE#5'-phosphate#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:acs	generalizations	concept:gene		1.0		
concept:ybbM	generalizations	concept:gene		1.0		
concept:allose#SPACE#6-phosphate#SPACE#isomerase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:4-hydroxybutyrate#SPACE#dehydrogenase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yddL	generalizations	concept:gene		1.0		
concept:ribosomal#SPACE#large#SPACE#subunit#SPACE#assembly	generalizations	concept:biological_process		1.0		
concept:clsA	generalizations	concept:gene		1.0		
concept:thiamine#SPACE#pyrophosphate#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:gapA	generalizations	concept:gene		1.0		
concept:nucleoside#SPACE#triphosphate#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:response#SPACE#to#SPACE#methylglyoxal	generalizations	concept:biological_process		1.0		
concept:yfjX	generalizations	concept:gene		1.0		
concept:Chloramphenicol	generalizations	concept:antibiotic		1.0		
concept:norR	generalizations	concept:gene		1.0		
concept:cation-transporting#SPACE#ATPase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:NADP#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:insE-3	generalizations	concept:gene		1.0		
concept:nicotinamide#SPACE#riboside#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:oxygen#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:xisR	generalizations	concept:gene		1.0		
concept:dgoT	generalizations	concept:gene		1.0		
concept:waaC	generalizations	concept:gene		1.0		
concept:yzcX	generalizations	concept:gene		1.0		
concept:yjhE	generalizations	concept:gene		1.0		
concept:ynjA	generalizations	concept:gene		1.0		
concept:gspK	generalizations	concept:gene		1.0		
concept:lysine-tRNA#SPACE#ligase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:malate#SPACE#dehydrogenase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:csgG	generalizations	concept:gene		1.0		
concept:yfgC	generalizations	concept:gene		1.0		
concept:Rifamycin#SPACE#SV	generalizations	concept:antibiotic		1.0		
concept:eutK	generalizations	concept:gene		1.0		
concept:hsdR	generalizations	concept:gene		1.0		
concept:mioC	generalizations	concept:gene		1.0		
concept:carbohydrate#SPACE#derivative#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:yibK	generalizations	concept:gene		1.0		
concept:ybbL	generalizations	concept:gene		1.0		
concept:lipoate#SPACE#synthase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:Sulfachloropyridazine	generalizations	concept:antibiotic		1.0		
concept:mtlA	generalizations	concept:gene		1.0		
concept:yibH	generalizations	concept:gene		1.0		
concept:glyoxalase#SPACE#III#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:zur	generalizations	concept:gene		1.0		
concept:yahB	generalizations	concept:gene		1.0		
concept:metR	generalizations	concept:gene		1.0		
concept:carbohydrate#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:protein#SPACE#homotetramerization	generalizations	concept:biological_process		1.0		
concept:protoporphyrinogen#SPACE#IX#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:3-hydroxybutyryl-CoA#SPACE#dehydrogenase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:methionine#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:RNA#SPACE#strand#SPACE#annealing#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:3-oxoadipyl-CoA#SPACE#thiolase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:enterobactin#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:cellular#SPACE#manganese#SPACE#ion#SPACE#homeostasis	generalizations	concept:biological_process		1.0		
concept:alcohol#SPACE#dehydrogenase#SPACE#[NAD(P)+]#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:bacterial-type#SPACE#flagellum#SPACE#assembly	generalizations	concept:biological_process		1.0		
concept:yhaC	generalizations	concept:gene		1.0		
concept:negative#SPACE#regulation#SPACE#of#SPACE#ion#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:biological_process		1.0		
concept:hcxA	generalizations	concept:gene		1.0		
concept:ribF	generalizations	concept:gene		1.0		
concept:gltJ	generalizations	concept:gene		1.0		
concept:TTP#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:ether#SPACE#hydrolase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:ytfF	generalizations	concept:gene		1.0		
concept:pgm	generalizations	concept:gene		1.0		
concept:ferredoxin#SPACE#metabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:tusD	generalizations	concept:gene		1.0		
concept:efeU_1	generalizations	concept:gene		1.0		
concept:yeaK	generalizations	concept:gene		1.0		
concept:ybeF	generalizations	concept:gene		1.0		
concept:propionate#SPACE#catabolic#SPACE#process#COMMA##SPACE#2-methylcitrate#SPACE#cycle	generalizations	concept:biological_process		1.0		
concept:hycI	generalizations	concept:gene		1.0		
concept:heme#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:yjiR	generalizations	concept:gene		1.0		
concept:chaperone#SPACE#cofactor-dependent#SPACE#protein#SPACE#refolding	generalizations	concept:biological_process		1.0		
concept:glpB	generalizations	concept:gene		1.0		
concept:tyrR	generalizations	concept:gene		1.0		
concept:feoA	generalizations	concept:gene		1.0		
concept:isoprenoid#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:mpaA	generalizations	concept:gene		1.0		
concept:narW	generalizations	concept:gene		1.0		
concept:D-xylose#SEMICOLON#proton#SPACE#symporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:aspartyl-tRNA#SPACE#aminoacylation	generalizations	concept:biological_process		1.0		
concept:sutR	generalizations	concept:gene		1.0		
concept:yehT	generalizations	concept:gene		1.0		
concept:ubiA	generalizations	concept:gene		1.0		
concept:diacylglycerol#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:response#SPACE#to#SPACE#hydroperoxide	generalizations	concept:biological_process		1.0		
concept:negative#SPACE#regulation#SPACE#of#SPACE#protein#SPACE#modification#SPACE#process	generalizations	concept:biological_process		1.0		
concept:ybcJ	generalizations	concept:gene		1.0		
concept:urate#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:tRNA#SPACE#(guanine-N1-)-methyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:rpoA	generalizations	concept:gene		1.0		
concept:purine#SPACE#nucleotide#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:grxD	generalizations	concept:gene		1.0		
concept:4-aminobutyrate#SPACE#transaminase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:arpB	generalizations	concept:gene		1.0		
concept:gltP	generalizations	concept:gene		1.0		
concept:tungstate#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:bioH	generalizations	concept:gene		1.0		
concept:luxS	generalizations	concept:gene		1.0		
concept:can	generalizations	concept:gene		1.0		
concept:oxidoreductase#SPACE#activity#COMMA##SPACE#acting#SPACE#on#SPACE#the#SPACE#aldehyde#SPACE#or#SPACE#oxo#SPACE#group#SPACE#of#SPACE#donors	generalizations	concept:molecular_function		1.0		
concept:fre	generalizations	concept:gene		1.0		
concept:ung	generalizations	concept:gene		1.0		
concept:yjcF	generalizations	concept:gene		1.0		
concept:3-phenylpropionate#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:rtcB	generalizations	concept:gene		1.0		
concept:ynbA	generalizations	concept:gene		1.0		
concept:Bacitracin	generalizations	concept:antibiotic		1.0		
concept:mnmA	generalizations	concept:gene		1.0		
concept:corA	generalizations	concept:gene		1.0		
concept:garP	generalizations	concept:gene		1.0		
concept:alsB	generalizations	concept:gene		1.0		
concept:galU	generalizations	concept:gene		1.0		
concept:ydcO	generalizations	concept:gene		1.0		
concept:GDP-mannose#SPACE#4#COMMA#6-dehydratase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:maltose#SPACE#O-acetyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:coaD	generalizations	concept:gene		1.0		
concept:sequence-specific#SPACE#DNA#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:arcC	generalizations	concept:gene		1.0		
concept:umuD	generalizations	concept:gene		1.0		
concept:yraP	generalizations	concept:gene		1.0		
concept:2-dehydropantoate#SPACE#2-reductase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:phosphoglycerate#SPACE#kinase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:purine-specific#SPACE#mismatch#SPACE#base#SPACE#pair#SPACE#DNA#SPACE#N-glycosylase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:lipid#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:gnsB	generalizations	concept:gene		1.0		
concept:yneH	generalizations	concept:gene		1.0		
concept:regulation#SPACE#of#SPACE#ion#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:biological_process		1.0		
concept:5-Nitro-2-furaldehyde#SPACE#semicarbazone	generalizations	concept:antibiotic		1.0		
concept:Blasticidin#SPACE#S	generalizations	concept:antibiotic		1.0		
concept:L-lysine#SPACE#transmembrane#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:glvC	generalizations	concept:gene		1.0		
concept:ibaG	generalizations	concept:gene		1.0		
concept:yahA	generalizations	concept:gene		1.0		
concept:dxs	generalizations	concept:gene		1.0		
concept:sgcX	generalizations	concept:gene		1.0		
concept:ygcN	generalizations	concept:gene		1.0		
concept:ypaB	generalizations	concept:gene		1.0		
concept:ydiT	generalizations	concept:gene		1.0		
concept:pyrimidine#SPACE#deoxyribonucleotide#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:ybiY	generalizations	concept:gene		1.0		
concept:plasma#SPACE#membrane	generalizations	concept:cellular_component		1.0		
concept:thiamine#SPACE#metabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:selenium#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:argH	generalizations	concept:gene		1.0		
concept:yihN	generalizations	concept:gene		1.0		
concept:ykfH	generalizations	concept:gene		1.0		
concept:ybfL	generalizations	concept:gene		1.0		
concept:ybcM	generalizations	concept:gene		1.0		
concept:DNA#SPACE#replication#SPACE#initiation	generalizations	concept:biological_process		1.0		
concept:lactose#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:yigA	generalizations	concept:gene		1.0		
concept:hyfH	generalizations	concept:gene		1.0		
concept:atpD	generalizations	concept:gene		1.0		
concept:UDP-2#COMMA#3-diacylglucosamine#SPACE#hydrolase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:tripeptide#SPACE#aminopeptidase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:thiC	generalizations	concept:gene		1.0		
concept:nucleotide#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:gdhA	generalizations	concept:gene		1.0		
concept:nicotinate-nucleotide-dimethylbenzimidazole#SPACE#phosphoribosyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:regulation#SPACE#of#SPACE#peptidase#SPACE#activity	generalizations	concept:biological_process		1.0		
concept:DNA#SPACE#import#SPACE#into#SPACE#cell#SPACE#involved#SPACE#in#SPACE#transformation	generalizations	concept:biological_process		1.0		
concept:yidL	generalizations	concept:gene		1.0		
concept:ybbP	generalizations	concept:gene		1.0		
concept:hycF	generalizations	concept:gene		1.0		
concept:galactose#SPACE#transmembrane#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:agaC	generalizations	concept:gene		1.0		
concept:gatR	generalizations	concept:gene		1.0		
concept:rsmA	generalizations	concept:gene		1.0		
concept:hcaE	generalizations	concept:gene		1.0		
concept:5-amino-6-(5-phosphoribitylamino)uracil#SPACE#phosphatase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:[isocitrate#SPACE#dehydrogenase#SPACE#(NADP+)]#SPACE#phosphatase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:double-strand#SPACE#break#SPACE#repair#SPACE#via#SPACE#homologous#SPACE#recombination	generalizations	concept:biological_process		1.0		
concept:yhdH	generalizations	concept:gene		1.0		
concept:cell#SPACE#envelope#SPACE#Sec#SPACE#protein#SPACE#transport#SPACE#complex	generalizations	concept:cellular_component		1.0		
concept:cnu	generalizations	concept:gene		1.0		
concept:pinR	generalizations	concept:gene		1.0		
concept:dsbG	generalizations	concept:gene		1.0		
concept:methylmalonyl-CoA#SPACE#mutase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:nucleotide-excision#SPACE#repair	generalizations	concept:biological_process		1.0		
concept:yhaV	generalizations	concept:gene		1.0		
concept:cellular#SPACE#modified#SPACE#amino#SPACE#acid#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:hydroxypyruvate#SPACE#isomerase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:drug#SEMICOLON#proton#SPACE#antiporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:rhaB	generalizations	concept:gene		1.0		
concept:hisG	generalizations	concept:gene		1.0		
concept:ygfJ	generalizations	concept:gene		1.0		
concept:yfbQ	generalizations	concept:gene		1.0		
concept:Carbenicillin	generalizations	concept:antibiotic		1.0		
concept:selenate#SPACE#reductase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:obgE	generalizations	concept:gene		1.0		
concept:cybC	generalizations	concept:gene		1.0		
concept:L-ribulose-phosphate#SPACE#4-epimerase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:intracellular#SPACE#protein#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:preQ1#SPACE#synthase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yccS	generalizations	concept:gene		1.0		
concept:abpB	generalizations	concept:gene		1.0		
concept:chaA	generalizations	concept:gene		1.0		
concept:glpG	generalizations	concept:gene		1.0		
concept:thiazole#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:napB	generalizations	concept:gene		1.0		
concept:ssuC	generalizations	concept:gene		1.0		
concept:yccU	generalizations	concept:gene		1.0		
concept:GTP#SPACE#3'#COMMA#8'-cyclase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:ldrC	generalizations	concept:gene		1.0		
concept:yodA	generalizations	concept:gene		1.0		
concept:ydgK	generalizations	concept:gene		1.0		
concept:rcsC	generalizations	concept:gene		1.0		
concept:ptsI	generalizations	concept:gene		1.0		
concept:polyribonucleotide#SPACE#nucleotidyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:deoxyribonucleotide#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:cysQ	generalizations	concept:gene		1.0		
concept:ldtB	generalizations	concept:gene		1.0		
concept:insB-7	generalizations	concept:gene		1.0		
concept:Colistin	generalizations	concept:antibiotic		1.0		
concept:regulation#SPACE#of#SPACE#RNA#SPACE#metabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:caiC	generalizations	concept:gene		1.0		
concept:N-methyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:fadB	generalizations	concept:gene		1.0		
concept:yeaW	generalizations	concept:gene		1.0		
concept:monosaccharide#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:trxA	generalizations	concept:gene		1.0		
concept:yahF	generalizations	concept:gene		1.0		
concept:asnA	generalizations	concept:gene		1.0		
concept:ydaW	generalizations	concept:gene		1.0		
concept:ygeX	generalizations	concept:gene		1.0		
concept:dauA	generalizations	concept:gene		1.0		
concept:cobalt#SPACE#ion#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:rstB	generalizations	concept:gene		1.0		
concept:rpsK	generalizations	concept:gene		1.0		
concept:L-isoleucine#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:cellular#SPACE#potassium#SPACE#ion#SPACE#homeostasis	generalizations	concept:biological_process		1.0		
concept:hcaT	generalizations	concept:gene		1.0		
concept:fadH	generalizations	concept:gene		1.0		
concept:ycbQ	generalizations	concept:gene		1.0		
concept:pepD	generalizations	concept:gene		1.0		
concept:cspH	generalizations	concept:gene		1.0		
concept:argS	generalizations	concept:gene		1.0		
concept:regulation#SPACE#of#SPACE#DNA#SPACE#binding#SPACE#transcription#SPACE#factor#SPACE#activity	generalizations	concept:biological_process		1.0		
concept:cysteine#SPACE#biosynthetic#SPACE#process#SPACE#from#SPACE#serine	generalizations	concept:biological_process		1.0		
concept:ihfA	generalizations	concept:gene		1.0		
concept:fructoselysine#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:ydjO	generalizations	concept:gene		1.0		
concept:yjcO	generalizations	concept:gene		1.0		
concept:fxsA	generalizations	concept:gene		1.0		
concept:ybbW	generalizations	concept:gene		1.0		
concept:adenine#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:yaiE	generalizations	concept:gene		1.0		
concept:kbaZ	generalizations	concept:gene		1.0		
concept:ansP	generalizations	concept:gene		1.0		
concept:internal#SPACE#peptidyl-lysine#SPACE#acetylation	generalizations	concept:biological_process		1.0		
concept:mlrA	generalizations	concept:gene		1.0		
concept:ydfQ	generalizations	concept:gene		1.0		
concept:mokB	generalizations	concept:gene		1.0		
concept:yciY	generalizations	concept:gene		1.0		
concept:nitric#SPACE#oxide#SPACE#reductase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:DNA#SPACE#helicase#SPACE#complex	generalizations	concept:cellular_component		1.0		
concept:hsrA	generalizations	concept:gene		1.0		
concept:ybjK	generalizations	concept:gene		1.0		
concept:yeiU	generalizations	concept:gene		1.0		
concept:phosphatidylglycerol-membrane-oligosaccharide#SPACE#glycerophosphotransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:acyl-CoA#SPACE#hydrolase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:parE	generalizations	concept:gene		1.0		
concept:cellular#SPACE#lipid#SPACE#metabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:beta-glucan#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:L-xylulokinase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:deoD	generalizations	concept:gene		1.0		
concept:alkB	generalizations	concept:gene		1.0		
concept:nohB	generalizations	concept:gene		1.0		
concept:menaquinone-dependent#SPACE#protoporphyrinogen#SPACE#oxidase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:bacterial-type#SPACE#flagellum	generalizations	concept:cellular_component		1.0		
concept:flgB	generalizations	concept:gene		1.0		
concept:FMN#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:lolC	generalizations	concept:gene		1.0		
concept:bcsE	generalizations	concept:gene		1.0		
concept:'de#SPACE#novo'#SPACE#AMP#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:5'-3'#SPACE#exoribonuclease#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:nitrite#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:Holliday#SPACE#junction#SPACE#helicase#SPACE#complex	generalizations	concept:cellular_component		1.0		
concept:ydgU	generalizations	concept:gene		1.0		
concept:yeaP	generalizations	concept:gene		1.0		
concept:deoB	generalizations	concept:gene		1.0		
concept:cusF	generalizations	concept:gene		1.0		
concept:yfcL	generalizations	concept:gene		1.0		
concept:rsd	generalizations	concept:gene		1.0		
concept:protein#SPACE#acetylation	generalizations	concept:biological_process		1.0		
concept:Streptonigrin	generalizations	concept:antibiotic		1.0		
concept:ygjP	generalizations	concept:gene		1.0		
concept:hicA	generalizations	concept:gene		1.0		
concept:yfgM	generalizations	concept:gene		1.0		
concept:yqhC	generalizations	concept:gene		1.0		
concept:yqjB	generalizations	concept:gene		1.0		
concept:protein#SPACE#insertion#SPACE#into#SPACE#membrane	generalizations	concept:biological_process		1.0		
concept:hypA	generalizations	concept:gene		1.0		
concept:xylB	generalizations	concept:gene		1.0		
concept:adhE	generalizations	concept:gene		1.0		
concept:copper-transporting#SPACE#ATPase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:enterobactin#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:rho	generalizations	concept:gene		1.0		
concept:rplU	generalizations	concept:gene		1.0		
concept:hydroxypyruvate#SPACE#reductase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:ybhQ	generalizations	concept:gene		1.0		
concept:transferase#SPACE#activity#COMMA##SPACE#transferring#SPACE#pentosyl#SPACE#groups	generalizations	concept:molecular_function		1.0		
concept:zraS	generalizations	concept:gene		1.0		
concept:protein-phosphocysteine-trehalose#SPACE#phosphotransferase#SPACE#system#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:adenosine#SPACE#nucleosidase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:DNA#SPACE#mediated#SPACE#transformation	generalizations	concept:biological_process		1.0		
concept:tdcG	generalizations	concept:gene		1.0		
concept:mutT	generalizations	concept:gene		1.0		
concept:yibJ	generalizations	concept:gene		1.0		
concept:glycerophosphocholine#SPACE#phosphodiesterase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:detoxification#SPACE#of#SPACE#zinc#SPACE#ion	generalizations	concept:biological_process		1.0		
concept:endonuclease#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:gldA	generalizations	concept:gene		1.0		
concept:pdeN	generalizations	concept:gene		1.0		
concept:kbp	generalizations	concept:gene		1.0		
concept:rRNA#SPACE#3'-end#SPACE#processing	generalizations	concept:biological_process		1.0		
concept:glutathione#SPACE#metabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:yfdI	generalizations	concept:gene		1.0		
concept:2-dehydro-3-deoxygalactonokinase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:cytoplasmic#SPACE#translational#SPACE#termination	generalizations	concept:biological_process		1.0		
concept:trans-translation-dependent#SPACE#protein#SPACE#tagging	generalizations	concept:biological_process		1.0		
concept:yjeO	generalizations	concept:gene		1.0		
concept:large#SPACE#ribosomal#SPACE#subunit#SPACE#rRNA#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:ilvD	generalizations	concept:gene		1.0		
concept:rnd	generalizations	concept:gene		1.0		
concept:inosine#SPACE#nucleosidase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:endopeptidase#SPACE#inhibitor#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:bglJ	generalizations	concept:gene		1.0		
concept:yciO	generalizations	concept:gene		1.0		
concept:cell#SPACE#outer#SPACE#membrane	generalizations	concept:cellular_component		1.0		
concept:crl	generalizations	concept:gene		1.0		
concept:sapA	generalizations	concept:gene		1.0		
concept:yegE	generalizations	concept:gene		1.0		
concept:yebO	generalizations	concept:gene		1.0		
concept:ydiM	generalizations	concept:gene		1.0		
concept:L-seryl-tRNASec#SPACE#selenium#SPACE#transferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:response#SPACE#to#SPACE#cobalt#SPACE#ion	generalizations	concept:biological_process		1.0		
concept:phosphoprotein#SPACE#phosphatase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:polysaccharide#SPACE#metabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:yraQ	generalizations	concept:gene		1.0		
concept:peptidoglycan-protein#SPACE#cross-linking	generalizations	concept:biological_process		1.0		
concept:translation#SPACE#initiation#SPACE#factor#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yjeH	generalizations	concept:gene		1.0		
concept:pseudouridine#SPACE#synthase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:rlmB	generalizations	concept:gene		1.0		
concept:insI-1	generalizations	concept:gene		1.0		
concept:7#COMMA#8-dihydromonapterin#SPACE#aldolase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yggT	generalizations	concept:gene		1.0		
concept:yjbH	generalizations	concept:gene		1.0		
concept:repressing#SPACE#transcription#SPACE#factor#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:yedE	generalizations	concept:gene		1.0		
concept:glycerol-3-phosphatase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:ycjY	generalizations	concept:gene		1.0		
concept:yqfA	generalizations	concept:gene		1.0		
concept:talA	generalizations	concept:gene		1.0		
concept:osmB	generalizations	concept:gene		1.0		
concept:rhamnulose-1-phosphate#SPACE#aldolase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:oxidoreductase#SPACE#activity#COMMA##SPACE#acting#SPACE#on#SPACE#a#SPACE#sulfur#SPACE#group#SPACE#of#SPACE#donors#COMMA##SPACE#quinone#SPACE#or#SPACE#similar#SPACE#compound#SPACE#as#SPACE#acceptor	generalizations	concept:molecular_function		1.0		
concept:ubiquinone#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:yceJ	generalizations	concept:gene		1.0		
concept:2-dehydro-3-deoxy-phosphogluconate#SPACE#aldolase#SPACE#activity	generalizations	concept:molecular_function		1.0		
